Titres opération et projet lauréat,Thématique
Acquérir une scène mobile pour les habitants de Saint-Blaise Scène roulante pour Saint-Blaise et les Portes du 20ème,Culture et patrimoine
Renforcer la place de la biodiversité dans le 11e Renforcer la place de la biodiversité dans le 11ème / 01 - panneaux pédagogique square Maurice Gardette,Environnement
Une voirie pour toutes les mobilités Une voirie pour toutes les mobilités / Bld de Charonne entre Trône et Avron,Mobilités
De l’art et de la culture dans les rues du 11e Itinéraire historique identifiant les lieux les plus significatifs du quartier,Culture et patrimoine
Du sport partout pour tous Ateliers sportifs sous le métro aérien boulevard Vincent Auriol,Sport
Paris plus propre : + de toilettes et + de technologie au service de la propreté Toilettes innovantes / Toilettes sèches jardin partagé de la Villa des Tulipes,Propreté
#SousLesPavésDesFleurs #SousLesPavésDesFleurs / Du gazon sur les trottoirs / Débitumage quai de Jemmapes à Paris 10eme,Environnement
#SousLesPavésDesFleurs 2785 - #SousLesPavésDesFleurs / installation de bacs végétalisés aux abords de la crèche situé Place Henri Frenay,Environnement
Des toilettes confortables et adaptées pour nos enfants Toilettes Ecole LM Nordmann,Education et jeunesse
Des sanitaires neufs pour les écoles du 19 ème Des sanitaires neufs pour l'EE Fessart,Education et jeunesse
Aider les personnes les plus fragiles à sortir de l'exclusion Poursuite de l'extension du bric à brac d'Emmaüs Défi (Chantier d'insertion),Solidarités
"Insonorisation et embellissement des réfectoires des écoles du 3ème Insononorisation, embellissement réfectoires écoles EM Perle",Education et jeunesse
Des boîtes à jouer et des ludothèques dans les écoles des quartiers populaires Des boîtes à jouer et des ludothèques dans les écoles des quartiers populaires,Education et jeunesse
"Des ordinateurs pour les écoles du 12eme Des ordis, pas des tablettes, pour les écoles du 12eme",Education et jeunesse
+ de commerces dans les quartiers populaires CAMA ELECTROMENAGER,Attractivité et emploi
#SousLesPavésDesFleurs D- SUIV 002785 - #SousLesPavésDesFleurs / Du gazon sur les trottoirs  / Debitumage 11 passage Briare,Environnement
+ de végétal dans les quartiers populaires Jardin Pixérécourt Extension sur voirie,Environnement
Agir pour une ville plus propre Achat de véhicules électriques et silencieux,Propreté
Bien grandir dans le 11e Actualisation du parc informatique - EM Bd Richard Lenoir,Education et jeunesse
20eme solidaire et intergénérationnel Aménagement de la Maison du Projet,Solidarités
"Pour toutes et tous, une alimentation collective et saine Coopérative de restaurateurs - les nouvelles marmites",Solidarités
Améliorer nos terrains d’éducation physique (TEP) TEP Barbanègre,Sport
Mieux grandir dans le 19e EP H. Noguère - Rénovation des sanitaires,Education et jeunesse
Mieux grandir dans le 19e Aménagements ludiques - Place de Joinville et rue Jomard,Education et jeunesse
Des Tableaux Numériques Interactifs dans toutes les classes EE Milton,Education et jeunesse
Des Tableaux Numériques Interactifs dans toutes les classes EE Tour d'Auvergne,Education et jeunesse
Bien grandir dans le 11e Des outils numériques dans les écoles primaires du 11 / EE République,Education et jeunesse
Investir pour la longévité et l'accessibilité de nos églises Réalisation d'une rampe d'accès PMR à St-Pierre-du-Gros-Caillou,Culture et patrimoine
Restaurer et embellir les églises du 7e arrondissement Rénovation du grand orgue de l'Eglise Saint-François-Xavier,Culture et patrimoine
Restaurer et embellir les églises du 7e arrondissement Restauration de la chapelle Saint Joseph de la Basilique Sainte-Clotilde,Culture et patrimoine
Rapprocher la culture des habitant·e·s Benoîte Groult à l'honneur dans sa bibliothèque,Culture et patrimoine
Renforcer les actions et multiplier les lieux de solidarité Solde,Solidarités
"Insonorisation et embellissement des réfectoires des écoles du 3ème Insonorisation, embellissement réfectoires écoles EE Louvois",Education et jeunesse
#TousRécup Financement de contenants réutilisables pour la Consigne GreenGo,Solidarités
Bien grandir dans le 11e Bien grandir dans le 11e /  Des jardins comestibles pour les enfants et familles du 11ème/Cours Oasis EE St Sébastien,Education et jeunesse
Plus d'équipements dans nos écoles EM rue d'Alleray,Education et jeunesse
Des locaux équipés pour un quartier plus solidaire Rénover le centre social des Epinettes,Solidarités
Un coup de vert dans le 15e Aire de jeux inclusive square Garibaldi,Environnement
"Apaiser, végétaliser des rues et places de l'arrondissement Etude préalable au lancement de la réfection des grilles de la place de l'Europe",Cadre de vie
Aider les sans-abris et lutter contre la précarité menstruelle Rénovation du local du Camres,Solidarités
"Apaiser, végétaliser des rues et places de l'arrondissement Aménagements rue Washington",Cadre de vie
Apaiser la circulation et partager l'espace public du 11e Création d'un parc canin Boulevard Richard Lenoir,Cadre de vie
Faisons du 12e un arrondissement toujours plus culturel ! Auditorium 2.0 / Conservatoire Paul Dukas,Culture et patrimoine
Améliorer le quotidien des habitant·e·s du quartier Bel-Air Nord Parcours street art ludique au quartier Lamoricière,Cadre de vie
Favoriser le lien social et les pratiques artistiques et sportives Acquisition de matériel et de livres pour la bibliothèque de rue,Solidarités
Lutter contre les inégalités d’accès Une bagagerie dans le 18e !,Solidarités
Des ordinateurs pour les écoles du 12eme EM A.Netter,Education et jeunesse
Végétaliser et rafraîchir les cours des écoles et collèges cours Jenner,Education et jeunesse
"#TousRécup Ressourcie 10e, Le Chamodix, soutien invest initiaux",Solidarités
Pour une bibliothèque Vaugirard plus accessible Construction d'un ascenseur d'accès à la Bibliothèque Lecourbe,Culture et patrimoine
"Accessibilité, rénovation et sécurisation Eglise Saint François-Xavier Accessibilité, rénovation et sécurisation Eglise Saint François-Xavier",Culture et patrimoine
Plus d'arceaux à vélo Installation d'arceaux vélos place du Panthéon,Mobilités
Valorisons les espaces verts 01-Rénovation du parcours santé de la coulée verte du 12ème,Environnement
Développer le sport pour tous dans le 20e Des Rénovations dans les Gymnases,Sport
Des pieds d'arbres et des trottoirs embellis 03-Réfection des pieds d'arbres avenue de la porte de Villiers,Culture et patrimoine
Rénovation du gymnase Biancotto : toiture et escalade Rénovation de la toiture,Sport
Lieu culturel ouvert à tout.es : il faut sauver le Café Reflets ! Lieu culturel ouvert à tout·es : il faut sauver le Café Reflets !,Solidarités
Faire rayonner les écoles des Quartiers Populaires Ouvrir l'EP Pajol au quartier,Education et jeunesse
Embellir et verdir les murs publics de Paris Centre Végétalisation de plusieurs murs de Paris Centre,Cadre de vie
Pour un 6e arrondissement plus vert 02-Réaménagement du jardin situé à l’angle des rues Littré et Vaugirard,Environnement
Un 11e solidaire et attractif Faire de Kiwanda un lieu de vie et d'accueil inconditionnel,Solidarités
"Des espaces verts conviviaux, inclusifs et intergénérationnels 04-Jardin’âges : l’écologie en actions intergénérationnelles",Environnement
Profiter des squares et de la Nature dans le 11e 06-Embellir le square Breguet Sabin,Environnement
Pour un 20e verdoyant 05-Pour des espaces verts rénovés - Aire de jeux Belleville/Télégraphe,Cadre de vie
Un restaurant solidaire et un gymnase multi-activités rénové (Cerdan) Rénovation du Gymnase Marcel Cerdan,Solidarités
Des cantines agréables pour les élèves en quartiers populaires EE rue JOMARD,Education et jeunesse
Toujours plus de sport dans le 13e Rénovation de la piste et du plateau d'athlétisme,Sport
Créer des espaces canins dans le 16e Créer d’avantages d’espaces canins à Paris,Cadre de vie
"Tennis pour tous en toute saison, en tout confort Tennis pour tous en toute saison , en tout confort et toujours gratuit",Sport
Brumisateurs urbains adaptés aux fontaines Wallace Brumisateurs urbains adaptée aux fontaines Wallace,Environnement
Pour des écoles plus accueillantes Pour des écoles plus accueillantes / Ecole Lacordaire,Education et jeunesse
Création d'un espace convivial végétalisé Créer un espace de respiration convivial entre les grands axes du Nord de Paris,Cadre de vie
Rénover les écoles du 20e Rénover les écoles du 20e /Maternelle 99 Pelleport protection climatique,Education et jeunesse
Rénover les écoles du 20e Rénover les écoles du 20e / EM Eugène Reisz - Sanitaires,Education et jeunesse
Rénover les écoles du 20e Rénover les écoles du 20e / EP Piat - Sanitaires,Education et jeunesse
Développer les équipements de plein air dans les parcs du 15e 03-Création d'un terrain de pétanque au parc Georges Brassens,Cadre de vie
Développer les équipements de plein air dans les parcs du 15e 04-Rénover et compléter les équipements sportifs de plein air,Cadre de vie
Valoriser nos espaces verts 02-Du mobilier modulable pour la Petite Ceinture du 15e,Environnement
Embellir le Patrimoine du 5e Restauration du plafond peint de la chapelle des Fonts à Saint-Médard,Culture et patrimoine
Embellissons la galerie du Square Dunois Rénovation du local avec Slashfit,Cadre de vie
Renovons l'église Saint-Jean de Montmartre Restauration de la chapelle de la Vierge,Culture et patrimoine
Rénover les équipements sportifs des quartiers populaires Un nouvel éclairage à Biancotto,Sport
Améliorer le patrimoine associatif de Belleville Équipements pour l'accueil des habitants du quartier BellevilleFontaine au Roi/Le Picoulet,Cadre de vie
"A vos graines, prêt.es ? Plantez ! 01 – installation de bancs place de la Garenne",Environnement
A vélo dans le 16ème arrondissement 03 - Installer une pompe  à vélo en libre service,Mobilités
Le 13e innove pour toujours plus d'accessibilité reliquats,Solidarités
"Diminuer les déchets, augmenter la récup’ Vesto - poursuite travaux Galerie circulaire + investissements en communication",Propreté
Embellir l’escalier du Boulevard Bonne Nouvelle Art urbain à Bonne nouvelle,Cadre de vie
Du street art sous le pont Pascal Fresque Pont Pascal,Culture et patrimoine
Améliorer la visibilité du carrefour Père Guerin/ Moulin des Prés Améliorer la visibilité du carrefour Père Guerin/ Moulin des Prés,Prévention et sécurité
Végétalisation des rues de l'arrondissement Végétalisation des rues de l'arrondissement / rues Lyonnais et Gay Lussac,Cadre de vie
"Mur végétal au 65, rue du Bac Mur Végétal (65 Rue du Bac 75007)",Cadre de vie
Végétalisation du mur aveugle du 318 rue Saint-Jacques 1/126Végétalisation du mur aveugle du 318 rue Saint-Jacques,Cadre de vie
RÉNOVER LE CENTRE SPORTIF DES POISSONNIERS Rénovation Gymnase bas,Sport
"Création d'un véritable ""Coeur de Ville"" dans le 20e Création d'un véritable ""Coeur de Ville"" dans le 20ème",Cadre de vie
Un mur anti-bruit autour du collège Germaine Tillion Insonorisation du puit de lumière Collège Germaine Tillion,Education et jeunesse
"Du vert pour le 13e Du vert pour le 13e /2-Végétaliser la placette du bas de la rue Duméril pour la rendre plus chaleureuse en végétalisant le mur de l'escalier du bas de la rue, et en mettant 6 grands pots de fleurs aussi bien sur la placette qu'en haut de l'escalier.",Environnement
Sécurisation de l'espace public dans le 17e arrondissement Sécuriser l'espace public dans le 17ème arrondissement,Prévention et sécurité
Réaménagement de la rue de la Condamine Réaménagement de la rue de la Condamine,Cadre de vie
"Des kiosques pour faire la fête Square Maurice Gardette, Kiosque à musique",Cadre de vie
"Des kiosques pour faire la fête Square Jean Morin, Kiosque à musique et locaux jardiniers",Cadre de vie
"Des kiosques pour faire la fête Jardin du Ranelagh, Kiosque à musique",Cadre de vie
Végétalisation des murs et des rues du 14e arrondissement Végétalisation des murs et des rues du 14e arrondissement / végétalisation d'un mur à l'école Maurice d'Ocagne,Environnement
Végétaliser les trottoirs du 15e Végétaliser les trottoirs du 15ème / 05-plantations au carrefour Liouville/Dorchain,Cadre de vie
Cultiver en ville Achat de matériel de jardinage qui seront mis à disposition dans les MA,Environnement
Paris aux piétons Création de « parklet » Association DEDALE,Cadre de vie
Les œuvres d'art investissent la rue Mur peint 12ème,Culture et patrimoine
"Les œuvres d'art investissent la rue L’enseigne de la rue moufle, de Robert Doisneau au sein du jardin Truillot",Culture et patrimoine
RÉNOVER LE CENTRE SPORTIF DES POISSONNIERS Etude rénovation et accessibilité vestiaires du gymnase,Sport
Tennis de table et babyfoot en accès libre Square Eugénie-Cotton,Sport
Réaménager la place Marek Edelman Réaménager la place Marek Edelman,Cadre de vie
Une halle alimentaire pour le 15e halle alimentaire 15e,Solidarités
Humanisation de la placette 39-41 avenue de Clichy Humanisation de la placette 39-41 avenue de Clichy,Cadre de vie
De nouveaux espaces ludiques pour les parcs du 19e De nouveaux espaces ludiques pour les parcs du 19e / ajout de mobiliers sur la pelouse Jardin Anaïs-Nin,Cadre de vie
Plus de sport dans le 15e Remplacement des agrès TEP Varet,Sport
Module de jeux pour enfants dans le square Gabriel Pierné Module de jeux pour enfants dans le square Gabriel Pierné,Education et jeunesse
Amélioration du matériel pour la pratique du sport dans le 5e Amélioration du matériel des CS du 5è_Gym. Lavoisier,Sport
#SousLesPavésDesFleurs #SousLesPavésDesFleurs / Des murs végétalisés le long du périphérique  / 01- Maryse Hilsz,Environnement
Création de stationnement deux-roues (vélos et motorisés) Création de stationnement deux-roues (vélos et motorisés),Cadre de vie
Apaiser les rues historiques de Belleville Apaiser les rues historiques de Belleville,Cadre de vie
Réinventons la Coulée Verte René – Dumont Réinventons la Coulée Verte René – Dumont,Cadre de vie
Créer un quartier piéton autour du square Maurice Gardette Créer un quartier piéton autour du square Maurice Gardette,Cadre de vie
Embellir la rue de la Fontaine au Roi des numéros 67 à 85 Faire du beau au niveau du 67-85 Fontaine au roi /  / installation de bacs de végétalisation,Cadre de vie
Développer l'aide aux personnes en situation de précarité Création d'un outil numérique de gestion des domiciliations,Solidarités
Développer l'aide aux personnes en situation de précarité Projet territoire zéro chômeur de longue durée - 13 Avenir - Expérimentation sur 5 ans,Solidarités
Réinventons nos places des quartiers populaires ! Réaménager la place St Blaise,Cadre de vie
Réinventons nos places des quartiers populaires ! Réaménager le carrefour Crespin du Gast / Passage de Menilmontant,Cadre de vie
Aménagement d'un parcours sportif sur les grands boulevards du 11e arrondissement Séquence n°1 (Pl. Nation à Avron),Sport
Aménagement d'aires de fitness dans les parcs et jardins du 15e Fitness parc Suzanne Lenglen,Sport
"En piste, encore plus d'aménagements cyclables àPorte de Montreuil",Mobilités
"En piste, encore plus d'aménagements cyclables En piste /porte de Saint-Ouen",Mobilités
"En piste, encore plus d'aménagements cyclables En piste, porte de Montrouge",Mobilités
+ de commerces dans les quartiers populaires Lauréat Coup de Pouce Commerce: BIENVENUE,Attractivité et emploi
Développer le réseau cyclable dans le 19e Rue de Crimée,Mobilités
Aménager des espaces permettant le développement d’activités ludiques et numériques dans 3 écoles VPI école polyvalente FRANC NOHAIN,Education et jeunesse
Des cantines rénovées et insonorisées pour les écoles du 12e Réfectoire école maternelle DR ARNOLD NETTER,Education et jeunesse
Des équipements innovants pour 10 écoles VPI école maternelle GUTENBERG,Education et jeunesse
Des équipements innovants pour 10 écoles Innovation école polyvalente FRERES VOISIN,Education et jeunesse
Des équipements innovants pour 10 écoles VPI école maternelle PROCESSION,Education et jeunesse
Embellir les cours et les terrasses des écoles du 20e Jardin pédégogique Cour école maternelle et élémentaire MOURAUD,Education et jeunesse
"Pour un arrondissement « treize accessible » aux personnes en situation de handicap, à mobilité réduite Pour un arrondissement « treize » accessible aux personnes handicapées,  à mobilité réduite",Mobilités
Sport urbain en liberté SWO Sq. Varlin,Sport
Sport urbain en liberté SWO Carpentier,Sport
Sport urbain en liberté SWO et fitness Sq. Brunot,Sport
Aménager des espaces sportifs dans les sept quartiers du 20e Fitness Sq. Samuel de Champlain,Sport
Du matériel de nettoiement silencieux et non polluant Du matériel de nettoiement silencieux et non polluant Aspirateur Glutton 020 1,Propreté
Des fontaines à boire dans tout Paris Des fontaines à boire dans tout Paris Fontaine Fontaine Arceau,Cadre de vie
Des fontaines à boire dans tout Paris Des fontaines à boire dans tout Paris Fontaine Pétillante,Cadre de vie
Du vert pour le 13e Du vert pour le 13e /4-Installer des bacs en bois sur l’Avenue de France,Environnement
Agir en faveur de la vitalité associative des quartiers populaires ! Quartier Libre XI,Solidarités
Agir en faveur de la vitalité associative des quartiers populaires ! Coop mijotée,Solidarités
Agir en faveur de la vitalité associative des quartiers populaires ! Fédération des Associations pour l'intégration des migrants asiatiques,Solidarités
"Trier ses déchets au plus près Composteur Association ""Cité Industrielle Environnement"" (11e)",Propreté
Trier ses déchets au plus près Composteur Les amis du jardin de la sainte Félicité,Propreté
"Du vert à tous les étages Ecole Alquier debrousse, 12 allée Alquier Debrousse",Environnement
Paris plus propre : + de toilettes et + de technologie au service de la propreté Acquisition de matériel électrique pour les services de la Propreté,Propreté
#TousRécup Coud' à coud',Solidarités
+ de nature en ville + de nature en ville / Ruchers; appel à projets / Square Sainte-Odile,Environnement
Un local neuf pour l'AS Centre et les jeunes Un local neuf pour l'AS Centre et les jeunes,Sport
Une boîte à livres sur la placette Davy/Guy Môquet Une boîte à livres sur la placette Davy/Guy Môquet,Culture et patrimoine
Réfection des trottoirs du 6e arrondissement suite Réfection des trottoirs du 6e arrondissement suite,Prévention et sécurité
Embellir et sécuriser le boulevard de Magenta Embellir et sécuriser le boulevard de Magenta,Cadre de vie
Favoriser l'accueil de manifestations aux Arènes de Lutèce Favoriser l'accueil de manifestations aux Arènes de Lutèce,Culture et patrimoine
"Le camion Refettorio : intégration, conseils légaux, repas Le camion Refettorio : intégration, conseils légaux, repas",Solidarités
Lutte contre le gaspillage alimentaire Lutte contre le gaspillage alimentaire,Solidarités
Des urinoirs dans les rues du 10e Des urinoirs dans les rues du 10e,Propreté
Modernisation de la piscine Aspirant Dunand Modernisation de la piscine Aspirant Dunand,Sport
"Améliorons les jardins Eole, Hermite et rue des Poissonniers Jardin Eole",Environnement
Aménager et rénover l’église Notre-Dame-de-la-Gare Restaurer le massif d'entrée de l’église Notre-Dame-de-la-Gare,Culture et patrimoine
Du sport pour toutes et tous dans les quartiers populaires Tennis de table dans les parcs et jardins,Sport
Des cheminements piétons sécurisés et accessibles Des cheminements piétons sécurisés et accessibles  / Rénovation des allées du square de l'avenue Laperrine,Cadre de vie
Cultiver dans les écoles Cultiver dans les écoles / Ecole 3/3,Education et jeunesse
Cultiver dans les écoles Cultiver dans les écoles / Ecole 2/5,Education et jeunesse
Cultiver dans les écoles Cultiver dans les écoles / Ecole 1/6,Education et jeunesse
Cultiver dans les écoles Cultiver dans les écoles / Ecole 5/12,Education et jeunesse
Cultiver dans les écoles Cultiver dans les écoles / Ecole 18/18,Education et jeunesse
Cultiver dans les écoles Cultiver dans les écoles / Ecole 8/12,Education et jeunesse
Cultiver dans les écoles Cultiver dans les écoles / Ecole 10/12,Education et jeunesse
Cultiver dans les écoles Cultiver dans les écoles / Ecole 6/20,Education et jeunesse
Cultiver dans les écoles Cultiver dans les écoles / Ecole 11/30,Education et jeunesse
Cultiver dans les écoles Cultiver dans les écoles / Ecole 15/30,Education et jeunesse
Cultiver dans les écoles Cultiver dans les écoles / Ecole 8/21,Education et jeunesse
Embellir les cours des écoles du 18e arrondissement Embellir les cours des écoles du 18e arrondissement / Ecole 9,Education et jeunesse
Embellir les cours des écoles du 18e arrondissement Embellir les cours des écoles du 18e arrondissement / Ecole 28,Education et jeunesse
Du matériel de nettoiement silencieux et non polluant matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 11,Propreté
Du matériel de nettoiement silencieux et non polluant matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 37,Propreté
Du matériel de nettoiement silencieux et non polluant matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 52,Propreté
Du matériel de nettoiement silencieux et non polluant matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 59,Propreté
Du matériel de nettoiement silencieux et non polluant matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 62,Propreté
Du matériel de nettoiement silencieux et non polluant matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 67,Propreté
Du matériel de nettoiement silencieux et non polluant matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 97,Propreté
Du matériel de nettoiement silencieux et non polluant matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 107,Propreté
Du matériel de nettoiement silencieux et non polluant matériel de nettoiement silencieux et non polluant Batterie Souffleuses électriques 5,Propreté
Du matériel de nettoiement silencieux et non polluant matériel de nettoiement silencieux et non polluant Batterie Souffleuses électriques 10,Propreté
Isolation et confort thermiques renforcés pour les écoles Stiores extérieurs élémentaire 83 avenue michel bizot,Education et jeunesse
Des cantines agréables pour les élèves en quartiers populaires Cantine Ecole élementaire Maroc,Education et jeunesse
Art dans la ville Rénovation de la Danse de la fontaine émergente,Culture et patrimoine
Trier ses déchets au plus près Composteur Square Eloise et Abélard,Propreté
Équiper les associations du 11e en matériel neuf Equiper l'association Onze mille potes,Solidarités
"Des ""mallettes de jeux "" dans les écoles du XXème Des espaces ludiques dans toutes les écoles du XXème",Education et jeunesse
"Des ""mallettes de jeux "" dans les écoles du XXème Des espaces ludiques dans toutes les écoles du XXème",Education et jeunesse
"Des ""mallettes de jeux "" dans les écoles du XXème Des espaces ludiques dans toutes les écoles du XXème",Education et jeunesse
Equiper les écoles du 14ème en tableaux noirs numériques Equiper les écoles du 14èm- EE square A.Fournier,Education et jeunesse
Equiper les écoles du 14ème en tableaux noirs numériques Equiper les écoles du 14ème -EE Prisse-d'Avennes,Education et jeunesse
Equiper les écoles du 14ème en tableaux noirs numériques Equiper les écoles du 14ème-EE Sévero,Education et jeunesse
Des boîtes à jouer et des ludothèques dans les écoles des quartiers populaires La Boîte à Jouer-option jeux d'exterieurs,Education et jeunesse
Des boîtes à jouer et des ludothèques dans les écoles des quartiers populaires La Boîte à Jouer-option jeux d'exterieurs,Education et jeunesse
Des boîtes à jouer et des ludothèques dans les écoles des quartiers populaires La boite à jouer,Education et jeunesse
Des chaussées rénovées ! Des chaussées rénovées ! - Rue de Clisson,Cadre de vie
Des chaussées rénovées ! Des chaussées rénovées ! - Rue Pierre-Joseph Desault,Cadre de vie
Pour une gestion de l'eau améliorée Projet OASIS école Emile Levassoir,Environnement
+ de commerces dans les quartiers populaires BOULANGERIE AA,Attractivité et emploi
+ de commerces dans les quartiers populaires LA ROYALE,Attractivité et emploi
Trier ses déchets au plus près Composteur Le Bois Dormoy 18ème,Propreté
#VillePlusPropre 18 rues sans mégots cendriers sondage,Propreté
+ de nature en ville Cultiver dans la crèche Saint Medard,Environnement
+ de nature en ville Cultiver dans la crèche Javelot,Environnement
+ de nature en ville Cultiver dans la crèche Jean Fautrier,Environnement
+ de nature en ville Cultiver dans la crèche Broussais,Environnement
+ de nature en ville Cultiver dans la crèche Lacordaire,Environnement
+ de nature en ville Cultiver dans la crèche Massé Pigalle,Environnement
+ de nature en ville Cultiver dans la crèche Léon Schwartzenberg,Environnement
Paris aux piétons Paris aux piétons / Création de Parklets / Rue des Quatre Frères Peignot (Asso Dédale),Cadre de vie
Paris aux piétons Paris aux piétons / Création de Parklets / Rue André Messager,Cadre de vie
#AlimentationPourTous NEAG 3,Solidarités
Du vert à tous les étages Bureaux 103 - toiture 1,Environnement
Cultiver en ville Cultiver en ville / Subvention Paris Habitat - résidence 28 rue Brillat Savarin,Environnement
#SousLesPavésDesFleurs #SousLesPavésDesFleurs / Mares et espaces de biodiversité dans les QP / Jardin Vercingétorix - Brune,Environnement
Interculturalité et végétalisation dans la rue de l'Echiquier Echange culturel par la couleur dans la rue de l’échiquier,Cadre de vie
"La Cuisine sur Place, atelier culinaire en extérieur pour tous La Cuisine sur Place, atelier culinaire en extérieur pour tous",Solidarités
POUR UN CONSERVATOIRE PLUS ADAPTE ET EQUIPE,Culture et patrimoine
Des nouveaux jeux et des équipements vélo au square Jacques Bidaut Des nouveaux jeux et des équipements vélo au square Jacques-Bidaut,Education et jeunesse
Plus d'équipements dans nos écoles Plus d'équipements dans nos écoles EM Théodore Deck,Education et jeunesse
Expérimentation d'aires de dépose-minute autour du quartier piéton Montorgueil - Saint-Denis Expérimentation d'aires de dépose et d'échange,Mobilités
Des panneaux photovoltaïques sur les bâtiments municipaux Des panneaux photovoltaïques sur les bâtiments municipaux,Environnement
Un terrain de sport couvert pour le collège public Courteline et le quartier Un terrain couvert pour bel air nord,Education et jeunesse
L'école maternelle André Bréchet rénovée ! L'école maternelle André Bréchet rénovée !,Education et jeunesse
Balade culturelle dans le 14e Balisage du chemin de Saint-Jacques de Compostelle,Culture et patrimoine
Acquisition d'instruments pour le département de musique ancienne du conservatoire du 6e Pour que la musique baroque rayonne au conservatoire,Culture et patrimoine
Restauration et mise aux normes de sécurité des horloges de l'église Saint-François-Xavier Restauration et mise aux normes de sécurité des horloges de l’église St-François-Xavier,Culture et patrimoine
Des places de stationnement pour les deux roues Création de places de stationnement 2 roues,Mobilités
Des stationnements pour vélos aux entrées du Parc Martin-Luther-King Des stationnements pour vélos aux entrées du Parc MLK / création d'une aire de stationnement vélos à l'intérieur du Parc,Prévention et sécurité
Une promenade végétalisée boulevard Macdonald Murs végétalisés le long des clôtures du boulevard MacDonald,Environnement
Des espaces ludiques et sportifs dans les jardins du 19e Rénovation du city stade Claude Bernard,Cadre de vie
"Renforcer le lien social entre les habitants du 13e Moi et mes enfants, boulevard Auriol (PH)",Solidarités
Une voirie pour toutes les mobilités Une voirie pour toutes les mobilités / Avenue du général Laperrine,Mobilités
"Une voirie pour toutes les mobilités Une voirie pour toutes les mobilités /Pourtour de la porte de la Villette : chemin de fer, commanderie",Mobilités
Renforcer la place de la biodiversité dans le 11e Renforcer la place de la biodiversité dans le 11ème / 03 - un keyhole au jardin Marcotte,Environnement
Des fontaines à boire dans tout Paris Fontaine Arceau place Mohamed V,Cadre de vie
"Cultiver en ville Cultiver en ville / Jardins partagés - Subvention à l’association Le Jardin d’Eugénie, pour jardin partagé Le P’tit Jardin",Environnement
Des quartiers populaires à énergie positive Action 1 : installation de panneaux solaires - école Parmentier (10e),Environnement
De l'art urbain dans le 17e Végétalisation,Culture et patrimoine
De l'art urbain dans le 17e Fresque au square Paray,Culture et patrimoine
#TousRécup Essaimage des repair café à Paris (8/10),Solidarités
#RefabriquonsÀParis Poursuite de l'extension du bric à brac d'Emmaüs Défi,Attractivité et emploi
Des tableaux numériques pour les écoles élémentaires du 7ème Des tableaux numériques/ EE EBLE,Education et jeunesse
Des cantines plus agréables pour nos enfants dans 11 écoles Des cantines plus agréables EE 32 place Jeanne d'Arc,Education et jeunesse
Le plaisir de lire dans les écoles et les lieux de vie du quartier ! Le plaisir de lire dans l' EE Ocagne,Education et jeunesse
Des espaces accueillants aux collèges Berlioz et Marx Dormoy Collège Marx Dormoy,Education et jeunesse
Des cours embellies et équipées pour les élèves du 11e Ecole Dumas,Education et jeunesse
Espaces ludiques dans les écoles du 16e Espaces Ludiques dans les écoles du 16e,Education et jeunesse
Espaces ludiques dans les écoles du 16e Espaces Ludiques dans les écoles du 16e,Education et jeunesse
"Des ordinateurs pour les écoles du 12eme Des ordis, pas des tablettes, pour les écoles du 12eme",Education et jeunesse
Embellir les écoles Equipement de jeux de cour dans les cours d'école,Education et jeunesse
Embellir les écoles Equipement de jeux de cour dans les cours d'école,Education et jeunesse
+ de commerces dans les quartiers populaires LE FLANKER,Attractivité et emploi
Réduire l'empreinte écologique des bâtiments Des ordinateurs chauffages - la Petite Fabrique,Solidarités
De nouvelles rues intelligentes dans le 15e De nouvelles rues intelligentes - éclairage public et stationnement,Environnement
#SousLesPavésDesFleurs D- SUIV 002785 - #SousLesPavésDesFleurs / Du gazon sur les trottoirs  / Débitumage Bd Ney impasse Alexandre Lecuyer,Environnement
"Lutter contre toutes les pollutions Aérons mieux les collèges, les écoles et les crèches",Environnement
Rénover les gymnases du 19e Rénovation et accessibilité du Gymnase des Lilas,Sport
"Favoriser l’économie sociale, solidaire et circulaire Réinsérer via la collecte à vélo des cartons usagés",Solidarités
Végétaliser les murs du 10e 03 - mur végétalisé sur le mur du collège Louise Michel,Environnement
Rénovation des avenues de Saint-Ouen et de Clichy Réfections chaussée St Ouen,Mobilités
Un 20eme plus vert Espaces d'agriculture urbaine,Environnement
Des cours d’écoles et espaces de jeux plus inclusifs et interactifs Aménagement des espaces extérieurs - EE (A) Reuilly,Education et jeunesse
Des jardins partagés et de la biodiversité 04 - Avenue Albert Bartholomé Réfection pieds arbres,Cadre de vie
Des Tableaux Numériques Interactifs dans toutes les classes EM de Rochechouart,Education et jeunesse
Bien grandir dans le 11e Des outils numériques dans les écoles primaires du 11 / EE Pihet,Education et jeunesse
Bien grandir dans le 11e Des outils numériques dans les écoles primaires du 11 / EE Servan,Education et jeunesse
