Titre de l'opération,Thématique
+ de nature en ville / 04-Mares et espaces de biodiversité / 02 Nichoirs et Hôtels à insectes,Environnement
Fresque sur la bibliothèque - Goutte d'Or,Cadre de vie
Gymnase Curial,Sport
2 boîtes pour le quartier Clignancourt-Jules Joffrin (2/2),Culture et patrimoine
Aide à l'organisation d'événements écoresponsables - Ouverture d'un centre de lavage de gobelets réutilisables,Propreté
Toilettes Ecole Küss,Education et jeunesse
Des cantines plus agréables EE rue Würtz,Education et jeunesse
Pour une gestion de l'eau améliorée ! / 055 - Amélioration de l'eau dans les jardins,Environnement
Réinventons les cours des écoles du 12e école maternelle Hillairet,Education et jeunesse
"Des ordis, pas des tablettes, pour les écoles du 12eme",Education et jeunesse
"Des ordis, pas des tablettes, pour les écoles du 12eme",Education et jeunesse
Espaces Ludiques dans les écoles du 16e,Education et jeunesse
Espaces Ludiques dans les écoles du 16e,Education et jeunesse
"Des ordis, pas des tablettes, pour les écoles du 12eme",Education et jeunesse
Equipement de jeux de cour dans les cours d'école,Education et jeunesse
ATELIERS ARTELLE,Attractivité et emploi
Cultiver en ville / subv abri pour éco paturage ovins sur la foret linéaire nord,Environnement
Un mur végétalisé au croisement des rues Blancs Manteaux et Archives,Cadre de vie
CC E. Gallois,Sport
E- SUIV 002168 -  Une voirie pour toutes les mobilités / 27 Bld Diderot,Mobilités
Récupération de chaleur du datacenter KDDI - école Roquette/collège Fournier,Solidarités
"Des ordis, pas des tablettes, pour les écoles du 12eme",Education et jeunesse
20 - serre aux papillons de la Maison Paris nature,Environnement
D- SUIV 002785 - #SousLesPavésDesFleurs / Du gazon sur les trottoirs  / Debitumage  5 rue Ernest Roche,Environnement
D- SUIV 002785 - #SousLesPavésDesFleurs / Du gazon sur les trottoirs / Debitumage 49 rue Bisson,Environnement
Accès école et collège St Ouen,Mobilités
Projet cabane citoyenne,Solidarités
Radars sonores,Environnement
Association Bibliothèque Braille Enfantine - Amélioration de l'accès aux non-voyants,Education et jeunesse
Marquage - circulation piétonne rue saint blaise,Cadre de vie
04 - mur végétalisé sur le mur de l'école rue de Marseille  (dans la continuité rue Jean Poulmarc'h),Environnement
EE Bolivar - Rénovation des sanitaires,Education et jeunesse
06 Centre de soins du hérisson,Environnement
Réfection de chaussée Clichy,Mobilités
Des outils numériques dans les écoles primaires du 11 / EE 109 Parmentier,Education et jeunesse
Achat de matériel électrique peu encombrant et adapté à l'espace public,Propreté
Favoriser le déploiement de dispositifs permettant le tri sur l’espace public,Propreté
Des paniers solidaires : un vélo cargo pour les étudiant.e.s,Solidarités
"Insonorisation, embellissement réfectoires écoles EP Tournelles",Education et jeunesse
07 - Composteur et nichoir au collège Paul Valéry.,Environnement
EE 21 RUE SAINT LOUIS EN L'ILE,Environnement
sécurité canaux,Cadre de vie
Remplacement Vanne - écluse flandre,Cadre de vie
Sécuriser les abords des écoles dans le 17e,Prévention et sécurité
Pour une cour d'école plus verte et conviviale EE Arbalète,Education et jeunesse
Des équipements numériques pour Adoma Dué,Solidarités
Rénovation du Gymnase Hautpoul,Sport
Sécurisation rue la Boétie,Prévention et sécurité
Fresques à la Coulée Verte René-Dumont,Culture et patrimoine
Equiper le Dragono,Culture et patrimoine
Achat d'une armoire à jeux adaptés à tous les âges,Solidarités
Une épicerie sociale pour les résidents et les habitants,Solidarités
Des équipements techniques et pédagogiques pour l'Espace Paris Jeunes Mahalia Jackson,Education et jeunesse
04 - Piscine Jean Taris,Cadre de vie
Achat véhicule PMR collectif,Solidarités
Embellir l'enceinte du square Alésia Ridder,Environnement
Gestion respectueuse des déchets Square Olave et Robert Baden Powell,Environnement
Des bacs à compost pour le 17ème !,Environnement
Des aménagements pour le jardin du Chalet (fiche à supprimer),Environnement
EE Jenner A,Education et jeunesse
03 - Mise en valeur du parcours de la Bièvre / 5 - Valorisation des fresques du passage de la rue Pascal,Environnement
Abris pour les sans-abri,Solidarités
02.2 - Valorisation des urines à l'académie du climat,Environnement
cour oasis EE (A) Jeanne d'Arc,Education et jeunesse
PRODUIRE PAR PANNEAUX PHOTOVOLTAIQUES DE L'ELECTRICITE DANS LES QUARTIERS POPULAIRES,Environnement
Une cour oasis pour l'école polyvalente Fauconnier,Education et jeunesse
"Piétonisation Faubourg Saint Denis, de Strasbourg St Denis à rue de Paradis",Cadre de vie
"Rénovation du Parcours sportif 2,3 km",Sport
01-Un vrai toit pour la Guinguette du Serment de Koufra,Cadre de vie
Restauration d'une chapelle à St Severin,Culture et patrimoine
05 - Fontaine La Guérison,Cadre de vie
Des écoles OASIS/ EE Julien Lacroix,Environnement
03-Création d'une fresque murale développement durable dans la rue Baron le Roy,Environnement
02-Réfection de la voirie des rues Curnonsky et Pitet,Cadre de vie
06-Rendre le 11ème plus confortable par des assises,Cadre de vie
02-Un jardin Martha-Desrumaux mieux adapté aux besoins des habitant·es,Environnement
03-Eduquer à la nature en installant des plaques d’identification des arbres du 11ème,Environnement
Eglise du Saint-Esprit,Environnement
Agrandissement de l'épicerie sociale et solidaire Solidaya,Solidarités
Radio Olympiades : renouvellement d'équipements techniques,Solidarités
Rejoué - site internet,Solidarités
La Réserve des Arts - Implantation à Montreuil,Propreté
Remettre des bancs,Cadre de vie
Accueillir plus de jardiniers aux Jardins de Camille,Environnement
"L’Argonne, une place agréable à vivre !",Cadre de vie
Rénover le parc Place Hebert  Paris 18 - Square Paul Robin,Environnement
Des squares canins dans le 14e,Cadre de vie
Boulodrome Ménilmontant,Sport
Equiper toutes les écoles des quartiers prioritaires du 10e de Tableaux Numériques Interactifs (TNI)/EE Louis Blanc,Education et jeunesse
Equiper toutes les écoles des quartiers prioritaires du 10e de Tableaux Numériques Interactifs (TNI)/EM Parmentier,Education et jeunesse
07 - Installer du mobilier Esplanade Vidal Naquet,Environnement
Nos écoles s'adaptent au réchauffement climatique /Canopée Green Shades,Education et jeunesse
Rénover les écoles du 20e / EP Alquier Debrousse - Sanitaires,Education et jeunesse
Rénovation de la fontaine Porte de Villiers,Culture et patrimoine
Fresque figures emblématiques,Culture et patrimoine
Roas Parks/ ombrières,Cadre de vie
Extramuros - Wikivillage,Propreté
Aménager le trottoir au croisement des rues Guy Môquet et Davy,Cadre de vie
Marelles et jeux école maternelle PEREIRE,Education et jeunesse
Rénovation partielle du square René Le Gall,Environnement
Sécurisation d'une traversée piétonne boulevard Auguste Blanqui,Prévention et sécurité
Végétalisation de la rue du Grenier-Saint-Lazare,Cadre de vie
Jouer au carreau,Sport
Création d'une salle de tennis de table,Sport
Parcours de street art - Cité rue du Moulinet,Culture et patrimoine
Cour de récréation école Ave Maria,Education et jeunesse
Réaménager la rue des deux ponts pour apaiser,Cadre de vie
"Ateliers ""MéniLibre"" (Association Extramuros)",Solidarités
Création d'une coulée verte dans l'avenue Denfert-Rochereau,Environnement
Un jardin public au centre du rond-point de la Chapelle,Cadre de vie
Skate Park,Sport
Square des Périchaux,Environnement
"Ecole élémentaire - 16, rue de la Victoire 9e",Environnement
"Square place Adolphe Chérioux, Kiosque à musique, locaux jardiniers",Cadre de vie
"Square Paul Robin, Kiosque à musique",Cadre de vie
Des jardins sur les murs / 75007 - Mise en place de pot 4 rue de la comète,Environnement
Toit végétalisé - 14eme - Centre Médico Social Ridder,Environnement
Potager sur le toit du CHU de l'Hopital Sainte-Perine (16eme),Environnement
Vegetalisation Cour de Venise - 03eme,Environnement
L'itinéraire pédestre Louvre-Bastille,Cadre de vie
Candy Shop de 2Shy,Culture et patrimoine
Fresque à l'ICI,Culture et patrimoine
Ideas Box,Culture et patrimoine
Centre de rencontre des jardins pédagogiques du 20ème,Education et jeunesse
aménagement quartier rue Neuve Saint Pierre,Environnement
Création d'une régie et de 2 studios à l'EPJ La Villa,Solidarités
Réaménagement du CMA 15,Cadre de vie
Une promenade piétonne paisible entre Denfert et Montsouris (Allée Samuel Beckett),Cadre de vie
#SousLesPavésDesFleurs / Plus de ruches sur les toits de Paris,Environnement
En direct du nid,Environnement
Projet ESPOIR TRAVAUX,Solidarités
Rénovation du Bain-douche Charenton,Solidarités
Rénovation de la façade des salles de sport Michelet Curial,Sport
Subvention Paris habitat 20eme Hotel Marquet,Environnement
Ludothèque école maternelle Turenne,Education et jeunesse
Lauréat Coup de Pouce Commerce: EL HASSAN - HBM,Attractivité et emploi
Rideaux Collège PAUL VALERY,Education et jeunesse
VPI 44 ENFANTS D'IZIEU,Education et jeunesse
VPI école élémentaire EMERIAU,Education et jeunesse
VPI école élémentaire CHERBOURG,Education et jeunesse
VPI école élémentaire AMIRAL ROUSSIN,Education et jeunesse
VPI école élémentaire FALGUIERE,Education et jeunesse
Tables de tri 16ème à généraliser ecoles + 10 tonnes de déchets par an,Environnement
Sanitaires groupe scolaire 41 TANGER,Education et jeunesse
Livreurs d'espoir,Solidarités
Coworking La Paillasse,Attractivité et emploi
Coworking UiSPC Cré@zone,Attractivité et emploi
#SousLesPavésDesFleurs / 75013 -végétaliser les clôtures parisiennes - Ecole Disque,Environnement
Séquence n°6 (Belleville - Pl. Col Fabien),Sport
Fitness Sq. Sarah Bernhardt,Sport
Square Claude Bernard,Sport
Square Quai de la Loire,Sport
Des fontaines à boire dans tout Paris Fontaine Arceau,Cadre de vie
Des fontaines à boire dans tout Paris Fontaine Arceau,Cadre de vie
Des fontaines à boire dans tout Paris Fontaine Arceau,Cadre de vie
Espaces de travail publics - AFEV,Education et jeunesse
Conservatoire municipal du 12e arrondissement,Culture et patrimoine
EE EUGENE VARLIN,Education et jeunesse
Amenagement Point Paris Emploi  6è (MIE),Solidarités
"Composteur ""Les Jardiniers du 5e""",Propreté
"Composteur Association ""Le lapin ouvrier""",Propreté
Une maraude médicale pour les sans-abris,Solidarités
Place aux vélos dans le 12e,Mobilités
#SousLesPavésDesFleurs / végétaliser les clôtures parisiennes - 75019 - Ecole Jomard,Environnement
+ de nature en ville / Ruchers; appel à projets / Square René Legall,Environnement
+ de nature en ville / Ruchers; appel à projets / Mairie du 17ème,Environnement
Un piano pour la Maison de la Vie Associative et Citoyenne,Culture et patrimoine
Signalisation des accès piétons du Bois de Boulogne,Mobilités
Université Paris-Dauphine : sécuriser les passages piétons,Prévention et sécurité
Jeux dans la cour de récréation de l'école maternelle Zédé,Education et jeunesse
Itinéraire de découverte du patrimoine artistique du 17e,Culture et patrimoine
Pour un hébergement d’urgence connecté,Solidarités
Végétaliser et embellir les rues des Amandiers / Plâtrières,Culture et patrimoine
Embellissement d’un poumon vert du Quartier St-Bernard / square Nordling,Environnement
Un ascenseur pour accéder à la Coulée Verte côté Bastille !,Mobilités
Rénovation TEP Emile Lepeu,Sport
15/02/2024Rue du Borrégo,Environnement
Centre sportif S Lenglen (toit foot- Parisculteurs 2),Attractivité et emploi
CPA Clavel,Education et jeunesse
Terrain de cricket,Sport
Cultiver dans les écoles / Ecole 1/5,Education et jeunesse
Cultiver dans les écoles / Ecole 9/9,Education et jeunesse
Cultiver dans les écoles / Ecole 1/2,Education et jeunesse
Cultiver dans les écoles / Ecole 4/7,Education et jeunesse
Cultiver dans les écoles / Ecole 15/18,Education et jeunesse
Cultiver dans les écoles / Ecole 13/17,Education et jeunesse
Cultiver dans les écoles / Ecole 19/23,Education et jeunesse
Cultiver dans les écoles / Ecole 8/20,Education et jeunesse
Cultiver dans les écoles / Ecole 20/20,Education et jeunesse
Cultiver dans les écoles / Ecole 4/30,Education et jeunesse
Cultiver dans les écoles / Ecole 14/21,Education et jeunesse
Cultiver dans les écoles / Ecole 10/18,Education et jeunesse
Embellir les cours des écoles du 18e arrondissement / Ecole 6,Education et jeunesse
Embellir les cours des écoles du 18e arrondissement / Ecole 16,Education et jeunesse
Embellir les cours des écoles du 18e arrondissement / Ecole 27,Education et jeunesse
Embellir les cours des écoles du 18e arrondissement / Ecole 44,Education et jeunesse
matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 30,Propreté
matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 49,Propreté
matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 70,Propreté
matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 75,Propreté
matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 98,Propreté
matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 103,Propreté
Du matériel de nettoiement silencieux et non polluant débroussailleuses électriques 023 18,Propreté
Du matériel de nettoiement silencieux et non polluant Tricycles électriques 026 4,Propreté
Du matériel de nettoiement silencieux et non polluant Tricycles électriques 026 6,Propreté
HERMEL (20) ELEM,Education et jeunesse
ORSEL (56) MAT,Education et jeunesse
Instrumenthèque Bibliothèque Saint-Eloi,Culture et patrimoine
Bibliothèque Maurice Genevoix,Culture et patrimoine
Fresque Crèche Cain,Education et jeunesse
Rénovation les toilettes de l'Ecole maternelle Patay,Education et jeunesse
école maternelle rue pihet,Education et jeunesse
Cantine EE Tandou 16,Education et jeunesse
Toilettes groupe scolaire avenue parmentier,Education et jeunesse
élémentaire eugène varlin,Education et jeunesse
Ecole maternelle Rampal,Education et jeunesse
Ecole élémentaire Etienne Dolet,Education et jeunesse
Ecole élémentaire Amandiers,Education et jeunesse
Fontaine Arceau 75005,Cadre de vie
Des espaces ludiques dans toutes les écoles du XXème,Education et jeunesse
Des espaces ludiques dans toutes les écoles du XXème,Education et jeunesse
Equiper les écoles du 14ème-EE Pierre Larousse,Education et jeunesse
Equiper les écoles du 14ème-EM Rouvier,Education et jeunesse
La Boîte à Jouer-option jeux d'exterieurs,Education et jeunesse
La Boîte à Jouer-option jeux d'exterieurs,Education et jeunesse
La Boîte à Jouer-option jeux d'exterieurs,Education et jeunesse
La Boîte à Jouer-option jeux d'exterieurs,Education et jeunesse
La Boîte à Jouer-option jeux d'exterieurs,Education et jeunesse
La Boîte à Jouer-option jeux d'exterieurs,Education et jeunesse
La Boîte à Jouer-option jeux d'exterieurs,Education et jeunesse
Des chaussées rénovées ! - Rue Charles Moureu,Cadre de vie
Projet école OASIS,Environnement
LULA CANTINE BIO,Attractivité et emploi
Projet OASIS Collège Guillaume Bude,Environnement
Cendriers sondage,Propreté
Cendriers sondage,Propreté
Cultiver dans la crèche Poliveau,Environnement
Cultiver dans la crèche Poliveau,Environnement
Cultiver dans la crèche Estrées,Environnement
Cultiver dans la crèche Losserand,Environnement
Cultiver dans la crèche Cauchy,Environnement
Cultiver dans la crèche Serge Prokofiev,Environnement
Cultiver dans la crèche Grossetti,Environnement
Cultiver dans le jardin d'enfant Solidarité,Environnement
Cultiver dans la halte-garderie Verneuil,Environnement
,Cadre de vie
Les Pieds sur la Table - développement d’une cantine associative,Solidarités
Le Danube Palace,Solidarités
ALINEAS,Solidarités
Artemisia,Solidarités
Des jardins sur les murs / 75003 - mur végétalisé CNAM 33/39 rue du Vertbois,Environnement
+ de nature en ville / 04-Mares et espaces de biodiversité/ Perré du quai d'Anjou,Environnement
+ de nature en ville / 04-Mares et espaces de biodiversité/ square édouard vaillant,Environnement
Ouvrir la maison des associations rue Daguerre !,Solidarités
Espace pédagogique sur les éco-gestes,Propreté
Eclairage intelligent dans les petites rues du 3ème,Cadre de vie
Art Exprim,Solidarités
Solidarité pour tous dans le 11ème,Solidarités
Planter des arbres sur les boulevards des maréchaux,Environnement
Réaménagement espaces extérieurs de tour abeille à Av Ivry,Cadre de vie
Installation de toilettes publiques au jardin place Rodin / Installation de toilettes publiques jardin Christiane Desroches Noblecourt,Propreté
Restauration et remise en service les lampadaires télescopiq,Culture et patrimoine
Implantation d’un compost co-géré,Environnement
Espace pour les jeunes et les artistes amateurs,Culture et patrimoine
Ranelagh - Aire de jeux enfants / Réaménagement de l'aire de jeux du jardin du Ranelagh et végétalisation,Cadre de vie
Transformation de la halte du centre social Aires 10,Solidarités
Scène roulante pour Saint-Blaise et les Portes du 20ème,Culture et patrimoine
Renforcer la place de la biodiversité dans le 11ème / 01 - panneaux pédagogique square Maurice Gardette,Environnement
Une voirie pour toutes les mobilités / Bld de Charonne entre Trône et Avron,Mobilités
Itinéraire historique identifiant les lieux les plus significatifs du quartier,Culture et patrimoine
Ateliers sportifs sous le métro aérien boulevard Vincent Auriol,Sport
Toilettes innovantes / Toilettes sèches jardin partagé de la Villa des Tulipes,Propreté
#SousLesPavésDesFleurs / Du gazon sur les trottoirs / Débitumage quai de Jemmapes à Paris 10eme,Environnement
2785 - #SousLesPavésDesFleurs / installation de bacs végétalisés aux abords de la crèche situé Place Henri Frenay,Environnement
Toilettes Ecole LM Nordmann,Education et jeunesse
Des sanitaires neufs pour l'EE Fessart,Education et jeunesse
Poursuite de l'extension du bric à brac d'Emmaüs Défi (Chantier d'insertion),Solidarités
"Insononorisation, embellissement réfectoires écoles EM Perle",Education et jeunesse
Des boîtes à jouer et des ludothèques dans les écoles des quartiers populaires,Education et jeunesse
"Des ordis, pas des tablettes, pour les écoles du 12eme",Education et jeunesse
CAMA ELECTROMENAGER,Attractivité et emploi
D- SUIV 002785 - #SousLesPavésDesFleurs / Du gazon sur les trottoirs  / Debitumage 11 passage Briare,Environnement
Jardin Pixérécourt Extension sur voirie,Environnement
Achat de véhicules électriques et silencieux,Propreté
Actualisation du parc informatique - EM Bd Richard Lenoir,Education et jeunesse
Aménagement de la Maison du Projet,Solidarités
Coopérative de restaurateurs - les nouvelles marmites,Solidarités
TEP Barbanègre,Sport
EP H. Noguère - Rénovation des sanitaires,Education et jeunesse
Aménagements ludiques - Place de Joinville et rue Jomard,Education et jeunesse
EE Milton,Education et jeunesse
EE Tour d'Auvergne,Education et jeunesse
Des outils numériques dans les écoles primaires du 11 / EE République,Education et jeunesse
Réalisation d'une rampe d'accès PMR à St-Pierre-du-Gros-Caillou,Culture et patrimoine
Rénovation du grand orgue de l'Eglise Saint-François-Xavier,Culture et patrimoine
Restauration de la chapelle Saint Joseph de la Basilique Sainte-Clotilde,Culture et patrimoine
Benoîte Groult à l'honneur dans sa bibliothèque,Culture et patrimoine
Solde,Solidarités
"Insonorisation, embellissement réfectoires écoles EE Louvois",Education et jeunesse
Financement de contenants réutilisables pour la Consigne GreenGo,Solidarités
Bien grandir dans le 11e /  Des jardins comestibles pour les enfants et familles du 11ème/Cours Oasis EE St Sébastien,Education et jeunesse
EM rue d'Alleray,Education et jeunesse
Rénover le centre social des Epinettes,Solidarités
Aire de jeux inclusive square Garibaldi,Environnement
Etude préalable au lancement de la réfection des grilles de la place de l'Europe,Cadre de vie
Rénovation du local du Camres,Solidarités
Aménagements rue Washington,Cadre de vie
Création d'un parc canin Boulevard Richard Lenoir,Cadre de vie
Auditorium 2.0 / Conservatoire Paul Dukas,Culture et patrimoine
Parcours street art ludique au quartier Lamoricière,Cadre de vie
Acquisition de matériel et de livres pour la bibliothèque de rue,Solidarités
Une bagagerie dans le 18e !,Solidarités
EM A.Netter,Education et jeunesse
cours Jenner,Education et jeunesse
"Ressourcie 10e, Le Chamodix, soutien invest initiaux",Solidarités
Construction d'un ascenseur d'accès à la Bibliothèque Lecourbe,Culture et patrimoine
"Accessibilité, rénovation et sécurisation Eglise Saint François-Xavier",Culture et patrimoine
Installation d'arceaux vélos place du Panthéon,Mobilités
01-Rénovation du parcours santé de la coulée verte du 12ème,Environnement
Des Rénovations dans les Gymnases,Sport
03-Réfection des pieds d'arbres avenue de la porte de Villiers,Culture et patrimoine
Rénovation de la toiture,Sport
Lieu culturel ouvert à tout·es : il faut sauver le Café Reflets !,Solidarités
Ouvrir l'EP Pajol au quartier,Education et jeunesse
Végétalisation de plusieurs murs de Paris Centre,Cadre de vie
02-Réaménagement du jardin situé à l’angle des rues Littré et Vaugirard,Environnement
Faire de Kiwanda un lieu de vie et d'accueil inconditionnel,Solidarités
04-Jardin’âges : l’écologie en actions intergénérationnelles,Environnement
06-Embellir le square Breguet Sabin,Environnement
05-Pour des espaces verts rénovés - Aire de jeux Belleville/Télégraphe,Cadre de vie
Rénovation du Gymnase Marcel Cerdan,Solidarités
EE rue JOMARD,Education et jeunesse
Rénovation de la piste et du plateau d'athlétisme,Sport
Créer d’avantages d’espaces canins à Paris,Cadre de vie
"Tennis pour tous en toute saison , en tout confort et toujours gratuit",Sport
Brumisateurs urbains adaptée aux fontaines Wallace,Environnement
Pour des écoles plus accueillantes / Ecole Lacordaire,Education et jeunesse
Créer un espace de respiration convivial entre les grands axes du Nord de Paris,Cadre de vie
Rénover les écoles du 20e /Maternelle 99 Pelleport protection climatique,Education et jeunesse
Rénover les écoles du 20e / EM Eugène Reisz - Sanitaires,Education et jeunesse
Rénover les écoles du 20e / EP Piat - Sanitaires,Education et jeunesse
03-Création d'un terrain de pétanque au parc Georges Brassens,Cadre de vie
04-Rénover et compléter les équipements sportifs de plein air,Cadre de vie
02-Du mobilier modulable pour la Petite Ceinture du 15e,Environnement
Restauration du plafond peint de la chapelle des Fonts à Saint-Médard,Culture et patrimoine
Rénovation du local avec Slashfit,Cadre de vie
Restauration de la chapelle de la Vierge,Culture et patrimoine
Un nouvel éclairage à Biancotto,Sport
Équipements pour l'accueil des habitants du quartier BellevilleFontaine au Roi/Le Picoulet,Cadre de vie
01 – installation de bancs place de la Garenne,Environnement
03 - Installer une pompe  à vélo en libre service,Mobilités
reliquats,Solidarités
Vesto - poursuite travaux Galerie circulaire + investissements en communication,Propreté
Art urbain à Bonne nouvelle,Cadre de vie
Fresque Pont Pascal,Culture et patrimoine
Améliorer la visibilité du carrefour Père Guerin/ Moulin des Prés,Prévention et sécurité
Végétalisation des rues de l'arrondissement / rues Lyonnais et Gay Lussac,Cadre de vie
Mur Végétal (65 Rue du Bac 75007),Cadre de vie
1/126Végétalisation du mur aveugle du 318 rue Saint-Jacques,Cadre de vie
Rénovation Gymnase bas,Sport
"Création d'un véritable ""Coeur de Ville"" dans le 20ème",Cadre de vie
Insonorisation du puit de lumière Collège Germaine Tillion,Education et jeunesse
"Du vert pour le 13e /2-Végétaliser la placette du bas de la rue Duméril pour la rendre plus chaleureuse en végétalisant le mur de l'escalier du bas de la rue, et en mettant 6 grands pots de fleurs aussi bien sur la placette qu'en haut de l'escalier.",Environnement
Sécuriser l'espace public dans le 17ème arrondissement,Prévention et sécurité
Réaménagement de la rue de la Condamine,Cadre de vie
"Square Maurice Gardette, Kiosque à musique",Cadre de vie
"Square Jean Morin, Kiosque à musique et locaux jardiniers",Cadre de vie
"Jardin du Ranelagh, Kiosque à musique",Cadre de vie
Végétalisation des murs et des rues du 14e arrondissement / végétalisation d'un mur à l'école Maurice d'Ocagne,Environnement
Végétaliser les trottoirs du 15ème / 05-plantations au carrefour Liouville/Dorchain,Cadre de vie
Achat de matériel de jardinage qui seront mis à disposition dans les MA,Environnement
Création de « parklet » Association DEDALE,Cadre de vie
Mur peint 12ème,Culture et patrimoine
"L’enseigne de la rue moufle, de Robert Doisneau au sein du jardin Truillot",Culture et patrimoine
Etude rénovation et accessibilité vestiaires du gymnase,Sport
Square Eugénie-Cotton,Sport
Réaménager la place Marek Edelman,Cadre de vie
halle alimentaire 15e,Solidarités
Humanisation de la placette 39-41 avenue de Clichy,Cadre de vie
De nouveaux espaces ludiques pour les parcs du 19e / ajout de mobiliers sur la pelouse Jardin Anaïs-Nin,Cadre de vie
Remplacement des agrès TEP Varet,Sport
Module de jeux pour enfants dans le square Gabriel Pierné,Education et jeunesse
Amélioration du matériel des CS du 5è_Gym. Lavoisier,Sport
#SousLesPavésDesFleurs / Des murs végétalisés le long du périphérique  / 01- Maryse Hilsz,Environnement
Création de stationnement deux-roues (vélos et motorisés),Cadre de vie
Apaiser les rues historiques de Belleville,Cadre de vie
Réinventons la Coulée Verte René – Dumont,Cadre de vie
Créer un quartier piéton autour du square Maurice Gardette,Cadre de vie
Faire du beau au niveau du 67-85 Fontaine au roi /  / installation de bacs de végétalisation,Cadre de vie
Création d'un outil numérique de gestion des domiciliations,Solidarités
Projet territoire zéro chômeur de longue durée - 13 Avenir - Expérimentation sur 5 ans,Solidarités
Réaménager la place St Blaise,Cadre de vie
Réaménager le carrefour Crespin du Gast / Passage de Menilmontant,Cadre de vie
Séquence n°1 (Pl. Nation à Avron),Sport
Fitness parc Suzanne Lenglen,Sport
àPorte de Montreuil,Mobilités
En piste /porte de Saint-Ouen,Mobilités
"En piste, porte de Montrouge",Mobilités
Lauréat Coup de Pouce Commerce: BIENVENUE,Attractivité et emploi
Rue de Crimée,Mobilités
VPI école polyvalente FRANC NOHAIN,Education et jeunesse
Réfectoire école maternelle DR ARNOLD NETTER,Education et jeunesse
VPI école maternelle GUTENBERG,Education et jeunesse
Innovation école polyvalente FRERES VOISIN,Education et jeunesse
VPI école maternelle PROCESSION,Education et jeunesse
Jardin pédégogique Cour école maternelle et élémentaire MOURAUD,Education et jeunesse
"Pour un arrondissement « treize » accessible aux personnes handicapées,  à mobilité réduite",Mobilités
SWO Sq. Varlin,Sport
SWO Carpentier,Sport
SWO et fitness Sq. Brunot,Sport
Fitness Sq. Samuel de Champlain,Sport
Du matériel de nettoiement silencieux et non polluant Aspirateur Glutton 020 1,Propreté
Des fontaines à boire dans tout Paris Fontaine Fontaine Arceau,Cadre de vie
Des fontaines à boire dans tout Paris Fontaine Pétillante,Cadre de vie
Du vert pour le 13e /4-Installer des bacs en bois sur l’Avenue de France,Environnement
Quartier Libre XI,Solidarités
Coop mijotée,Solidarités
Fédération des Associations pour l'intégration des migrants asiatiques,Solidarités
"Composteur Association ""Cité Industrielle Environnement"" (11e)",Propreté
Composteur Les amis du jardin de la sainte Félicité,Propreté
"Ecole Alquier debrousse, 12 allée Alquier Debrousse",Environnement
Acquisition de matériel électrique pour les services de la Propreté,Propreté
Coud' à coud',Solidarités
+ de nature en ville / Ruchers; appel à projets / Square Sainte-Odile,Environnement
Un local neuf pour l'AS Centre et les jeunes,Sport
Une boîte à livres sur la placette Davy/Guy Môquet,Culture et patrimoine
Réfection des trottoirs du 6e arrondissement suite,Prévention et sécurité
Embellir et sécuriser le boulevard de Magenta,Cadre de vie
Favoriser l'accueil de manifestations aux Arènes de Lutèce,Culture et patrimoine
"Le camion Refettorio : intégration, conseils légaux, repas",Solidarités
Lutte contre le gaspillage alimentaire,Solidarités
Des urinoirs dans les rues du 10e,Propreté
Modernisation de la piscine Aspirant Dunand,Sport
Jardin Eole,Environnement
Restaurer le massif d'entrée de l’église Notre-Dame-de-la-Gare,Culture et patrimoine
Tennis de table dans les parcs et jardins,Sport
Des cheminements piétons sécurisés et accessibles  / Rénovation des allées du square de l'avenue Laperrine,Cadre de vie
Cultiver dans les écoles / Ecole 3/3,Education et jeunesse
Cultiver dans les écoles / Ecole 2/5,Education et jeunesse
Cultiver dans les écoles / Ecole 1/6,Education et jeunesse
Cultiver dans les écoles / Ecole 5/12,Education et jeunesse
Cultiver dans les écoles / Ecole 18/18,Education et jeunesse
Cultiver dans les écoles / Ecole 8/12,Education et jeunesse
Cultiver dans les écoles / Ecole 10/12,Education et jeunesse
Cultiver dans les écoles / Ecole 6/20,Education et jeunesse
Cultiver dans les écoles / Ecole 11/30,Education et jeunesse
Cultiver dans les écoles / Ecole 15/30,Education et jeunesse
Cultiver dans les écoles / Ecole 8/21,Education et jeunesse
Embellir les cours des écoles du 18e arrondissement / Ecole 9,Education et jeunesse
Embellir les cours des écoles du 18e arrondissement / Ecole 28,Education et jeunesse
matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 11,Propreté
matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 37,Propreté
matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 52,Propreté
matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 59,Propreté
matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 62,Propreté
matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 67,Propreté
matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 97,Propreté
matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 107,Propreté
